"path","format","bytes","sha256"
"Case4/Acrylic/frount.SLDPRT","SLDPRT","66239","110deddbf8e8d5c18065f3c7951c575721fe36af39fa3eec722a05971c92225d"
"Case4/Acrylic/Plastic_pannel.SLDPRT","SLDPRT","153599","d751766324f812b0075d6ac1086ea3d0098859277d0c0b2e4cc31e5884693b46"
"Case4/Acrylic/Side_plates.SLDPRT","SLDPRT","64155","2ca480358b21e4d4b6fc4eb7d76de76c807e1493a70d40325ccec5434f32a017"
"Case4/Acrylic/topPlate.SLDPRT","SLDPRT","70720","8405119d4f9a9a5c00b2fcabd8255f0487f168bc22c2c1d9ee25ccd6c593155b"
"Case4/Acrylic/topside_plates.SLDPRT","SLDPRT","62755","deb302c283cb6134bd5bf6bcbd005ad2b2a3ec1c7760ad4fa7e6666f09ea65ce"
"Case4/attachnents/battery.SLDPRT","SLDPRT","298947","edb7794bc53ed5c4a358b5fc608639d99bc7ab540300cf398892fd5a946db7a9"
"Case4/attachnents/cameraHolder.SLDPRT","SLDPRT","1352115","fcd3f76764b30579e94be256a9e68796521cd9e567e98b1d4a997d3c104a6176"
"Case4/attachnents/cameraHolder_ZED.SLDPRT","SLDPRT","1489810","c468e4aedd8c2b2242ca3d1cad476c0561904901c96f0f49db52c45f32b9befe"
"Case4/attachnents/LIDAR.SLDPRT","SLDPRT","1523716","db5413e334984303b462a3bc7c73e66b19a116f1f343ec13e6da1fb7990adf06"
"Case4/attachnents/LIDAR_Bottom.SLDPRT","SLDPRT","772178","d18a954f2c7c1ae94d5cc8ca53d5a950b7b08fc8ddc177d419f14a97078fcf3a"
"Case4/attachnents/LIDAR_Top.SLDPRT","SLDPRT","129186","3be9353ed2cdd54056a1e186622a70c660f7a16ee3dab17db9d130b8f97a605a"
"Case4/attachnents/ZEDCamera.STL","STL","1410384","0e4a7be9bff8b8b5d1ee640653caf76d3daeccf00ce7ef7ecba8e92f69faaa4e"
"Case4/attachnents/ZEDCameraBottom.SLDPRT","SLDPRT","754158","dbf368a2c2826c091dc5c1eec91af85d10965d3d48d4e24a1023428a16d26252"
"Case4/attachnents/ZEDCameraTop.SLDPRT","SLDPRT","120780","17138ba17ecf93e7deca3b56c5b62a1d8e8de334f3a6ea5c0dbf6478645c179d"
"Case4/baseplate.SLDPRT","SLDPRT","679246","da73a79e3e251de0b029b46eac31a07b2d08197d83db7592b1a08828619ce926"
"Case4/DoorParts.SLDPRT","SLDPRT","303909","6e9651537414686a6c666abb3519b2861c8315e3decbf8aa3a30d49bbb899453"
"Case4/FramePart.SLDPRT","SLDPRT","98542","397c6c223f9cb381c9a9473c3d78d9c0d8b62c3a1c835612eaf510ece6e4350b"
"Case4/FullCase.SLDASM","SLDASM","5418312","c353a7866811327056f496dba585162fd0de7202763daea625e512094977e95b"
"Case4/FullCase.SLDPRT","SLDPRT","5780932","80fe1dda2dd882f9caeeb8d9c24e3ae213ac37c18b68f651c83ba858ab786b27"
"Case4/FullCase.STL","STL","9726284","62148eb78b3e3294210e01cab448c4b0f099aacecfbe38d4409f8c2bf8bdd8d5"
"Case4/LazerCut/frount.DXF","DXF","22424","b6f602694c9fec86a02e7d562c49b946791a479f39fb34bf2a330d80d373c2cb"
"Case4/LazerCut/Plastic_pannel.DXF","DXF","31557","1e0336faca28da28f7dcda0342edaf6c389fa54da7d29c61c25259084a108199"
"Case4/LazerCut/Side_plates.DXF","DXF","21710","78666b90c6c381ad4f88487d480d0bd8f8bc8fa052b0a9c6a1cf023ab7b428f8"
"Case4/LazerCut/topPlate.DXF","DXF","21900","bb685cce48b00abf53ec139c092e35cd261b38405b10e086c77a621e7e88525f"
"Case4/LazerCut/topside_plates.DXF","DXF","21702","8ef550192819ec669ae0b891c7f481a88ec5e2c0b5436a2992e7dfd6c7dc666d"
"Case4/Prints/AllPrints_ProjectFile.3mf","3MF","1884914","446e8557f9aad3ef2a2682379c4fa2510fe1f6396737654ba7d5147351674147"
"Case4/Prints/baseplate.STL","STL","238884","8bd8e5f828f270335698f03b9d2aa8ff2465398c79da9975430e08aecae97e34"
"Case4/Prints/batteryHolder.STL","STL","379984","0a47ca252bd1541a8c30e9619c9eb91ed381a9104e485be5edb1da3119dbad2b"
"Case4/Prints/cameraHolder_L515.STL","STL","2379084","a6d3c4e91ace8865b91d3d1b5b85396488b71c8e991c6845622f2eb2220b8a52"
"Case4/Prints/DoorParts.STL","STL","154584","e52834f5e314e1151980ca4d0cfd5c497f50e63333586e44521cf57f93322443"
"Case4/Prints/FramePart.STL","STL","5084","b635b7d94999b9d3c892b70eda71ca5bd4294b1e96f2aad81eeeffbbdd5fe542"
"Case4/Prints/LIDAR.STL","STL","1872784","8946b5bc8a9f5d2ef66afb4c9d5d6381becb56fbf187e6e386d90de750101de5"
"Case4/Prints/ZEDCamera.STL","STL","1410384","49ae2b2011ba7f9210d64e914804378f80e06ac08aaea9b965938c6cef25cc5b"
